,Site,Code,Ucode,,,TStart,TStop,ShortName,Name,Location,Longitude,Latitude,Error,Parent,ShortEName,EName
CARD,,CARD,LS,F,1952 Jan,1952 Jan,CARD  -,"Le Cardonnet, Montpelier, France",-,3.6400,43.5800,0.0500,DGA,-                -,,-
CARN,,CARN,LS,AU,1964 Jul 16,1964 Oct,CARN  -,"Carnarvon, Western Australia",-,113.4000,-24.5000,0.0200,WRE,-                -,,-
CARN2,,CARN2,LS,AU,1965 May,1965 May 11,CARN2 -,"Carnarvon north site, Western Australia",-,113.2500,-24.1000,0.2000,WRE,-                -,,-
CASS,,CASS,LS,BR,1966 Nov  5,1966 Nov 12,CASS  -,"Cassino, Rio Grande Do Sul, Brasil",-,-52.1689,-32.1927,0.0001,INPE/NASA?,-                -,,-
CC,,CC,LS,US,1992,*,CC    -,"Cape Canaveral Air Station, Florida",-,-80.5400,28.4600,0.0500,USAF,Canaveral        -,,CC
CCMTA,,CC,LS,US,1955 Dec 16,1964 Jan 22,CCMTA,"Cape Canaveral Missile Test Annex, Air Force Missile Test Center","Cape Canaveral, Florida",-80.5400,28.4600,0.0500,USAF,-                -,,-
CKAFS,,CC,LS,US,1964 Jan 22,1974 Mar,CKAFS,"Cape Kennedy Air Force Station, Eastern Test Range","Cape Kennedy, Florida",-80.5400,28.4600,0.0500,USAF,-                -,,CC
CCA,,CCA,LS,US,1984,1998 Jan  1,CC (A),"Cape Canaveral Air Force Station, Eastern Test Range","Cape Canaveral, Florida",-80.5400,28.4600,0.0500,USAF,-                -,,-
CCAFS,,CC,LS,US,1974 Mar,1992,CCAFS,"Cape Canaveral Air Force Station, Eastern Test Range","Cape Canaveral, Florida",-80.5400,28.4600,0.0500,USAF,-                -,,-
CEL,,CEL,LS,F,1964 Mar 11,*,CEL   -,"Centre d'Essais de Landes, Biscarosse, Landes, France",-,-1.2500,44.4500,0.0200,F,-                -,,-
CELAT,,CELAT,LS,AR,1968,1970,CELAT -,"CELPA Atlantica, Mar Chiquita, Buenos Aires, Argentina",-,-57.4200,-37.7500,0.0200,AR,-                -,,-
CELM,,CEL,LS,F,1966 Feb,*,CELM  -,Centre d'Essais de Lancement de Missiles  (former CEL),-,-1.2500,44.3620,0.0020,F,-                -,,-
CELPA,,CELPA,LS,AR,1962,1973,CELPA -,Centro de Ensayo y Lanzamiento de Proyectiles Autopropulsados,"Chamical, La Rioja, Argentina",-66.3170,-30.1300,0.0200,AR,-                -,,-
CEM,,CERES,LS,F,1968 Sep  1,*,CEM   -,"Centre d'Essais de la Mediterranee, Ile du Levant, Var, France",-,6.4700,43.0500,0.0200,F,-                -,,-
CERES,,CERES,LS,F,1948,1968 Sep  1,CERES -,"Centre d'Essais et de Recherches d'Engins Speciaux, Ile du Levant, Var",-,6.4700,43.0500,0.0200,F,-                -,,-
CHAC,,CHAC,LS,AR,1966 Nov 12,1966 Nov 12,CHAC  -,"Las Palmas, Chaco, Argentina",-,-58.7500,-27.1300,0.0300,CNES,-                -,,-
CHAN,,CHAN,LS,IN,1989,*,CHAN  -,"Integrated Test Range, Balasore Range, Chandipur-On-Sea, Orissa, India",-,86.6000,21.3000,0.0500,DRDO,-                -,,-
CHEL,,CHEL,LS,SU,1957,1960s,CHEL  -,"SP-5 Tactical missile site, Chelkar, Aktyubinsk",-,59.6100,47.8500,0.0200,RVSN,-                -,,-
CHI,,CHI,LS,PE,1974 Mar 29,1983 Mar 23,CHI   -,"Chilca Launch Range, Lima, Peru",-,-76.8000,-12.5000,0.0200,PE,-                -,,-
CHIOHE,,CHIOHE,LS,TW,1999,*,CHIOH -,"Chio He air base, Pingtung, Formosa (Taiwan)   [== JP?]",-,120.5000,22.6000,0.1000,NSPO,-                -,,-
CHIHA,,CHIHA,LS,KP,1991 Jul,*,CHIHA -,"Chiha-ri, Ich'on, Kangwon do, Choson",-,126.6850,38.6230,0.1000,KPA,-                -,,-
CLBI,,CLBI,LS,BR,1965 Dec 15,*,CLBI  -,"Centro de Lancamento da Barreira do Inferno, Natal, Rio Grande N, Brasil",-,-35.3830,-5.8660,0.0200,IAE,-                -,,-
COLDLK,,COLDLK,LS,CA,1954,1990,COLDL -,"Cold Lake Air Weapons Range, Alberta (meteorological rockets)",-,-110.0000,54.0000,0.5000,RCAR,-                -,,-
CORO,,CORO,LS,SR,1965 Sep 18,1965 Sep 27,CORO  -,"Coronie, Surinam",-,-56.3000,5.8500,0.0200,ZWO,-                -,,-
CP,,CP,LS,CA,1969 Mar  7,1982 Jan 21,CP    -,"Cape Parry, PIN Main DEW, Inuvik Region, Northwest Territory, Canada",-,-124.7170,70.1700,0.0200,CA,-                -,,-
CRI23,,CRI23,LS,LUNA,1974 Nov  6:,1974 Nov  6,CRI23 KT-410,"KT No. 410, Luna-23 Site, Mare Crisium, Mare Undarum A3",Luna,56.5000,13.5000,0.0100,NPOL,-                -,,LUNA
CRI24,,CRI24,LS,LUNA,1974 Aug 19,1974 Aug 19,CRI24 KT-413,"KT No. 413, Luna-24 Site, Mare Crisium, Mare Undarum B1",Luna,62.2000,12.7500,0.0100,NPOL,-                -,,LUNA
CSB,,CSB,LS,US,1960,*,CSB   -,"Site D3, Cape San Blas, Eglin AFB, Florida",-,-85.3700,29.6700,0.0200,USAF,-                -,,-
CSG,,CSG,LS,GUF,1968,*,CSG   -,"Centre Spatial Guyanais, Kourou, Guyane Francaise",-,-52.7517,5.2333,0.0200,CNES,-                -,,-
CUD,,CUD,LS,US,1959,1967,CUD   -,"Cuddeback Dry Lake drop zone, California",-,-117.2700,35.1800,0.1000,NASA/USAF,-                -,,-
CUX,,CUX,LS,D,1945,1963,CUX   -,"Cuxhaven, Niedersachsen, Deutschland",-,8.7000,53.8700,0.0200,UK,-                -,,-
CYCL,,CYCL,LS,GR,2008,-,Pachia?,"NAMFI target launch site: either Ftena, Pachia or Makra",Cyclades Islands,36.3000,25.8000,0.1500,NATO,-                -,-,
DAT,,DAT,LS,US,1963,1963,DAT   -,"Datil, New Mexico",-,-107.5100,34.0800,0.0200,USA,-                -,,-
DBAY,,DBAY,LS,LB,1960,1966,Dbayeh,"Dbayeh launch site, LRS","Dbayeh, Liban",35.6000,33.9300,0.1000,LRS,-                -,,-
DEK,,DEK,LS,IR,1990s,1990s,DEK   -,"Dasht-E-Kabir, Iran (Khatami Air Base?)",-,51.8500,32.7500,0.0500,IR,-                -,,-
DERZH,,DERZH,LS,SU,1960s,1990s,DERZH,"Derzhavinsk missile site, Russia",-,66.1000,51.3000,0.1000,RVSN,-                -,,-
DES,,DES,LS,LUNA,1972 Apr 24,1972 Apr 24,DES   LM11-DS,"LM 11 Descent Stage, Descartes Base, Descartes Plain, Theophilus D2",Luna,15.5100,-8.9000,0.0100,NASA,-                -,,LUNA
DEVER,,DEVER,LS,EG,1973,1973,Deversoir,Deversoir Air Base,Egypt,32.3353,30.4227,0.0100,EG,-                -,,-
DDL,,DDL,LS,US,1959,1967,DDL   RW00/18,"RW00/18, Delamar Dry Lake, Nevada",-,-114.9300,37.3600,0.0200,NASA/USAF,-                -,,-
DDU,,DDU,LS,TF,1967 Jan 26,1967 Jan 29,DDU   -,"Dumont d'Urville, Terre Adelie","Dumont d'Urville, Terre Adelie",140.0200,-64.6700,0.0200,CNES,-                -,,-
DROV,,DROV,LS,RU,1988,1989,DROV,"Drovyanaya, Chitinsk oblast'",-,113.0000,51.5000,0.1000,RVSN,-                -,,-
EAFB,,EAFB,LS,US,1957,*,EAFB  -,"Edwards AFB, California",-,-117.8000,34.9000,0.1000,USAF,-                -,,-
EAO,,EAO,LS,RU,2016,*,EAO,"Iskander mobile launch site, Everyskaya avtonomnaya oblast",-,133.0000,48.7500,2.0000,RVSN,-                -,,-
EGL,,EGL,LS,US,1959 Sep 18,1980 Dec 12,EGL   -,"Santa Rosa Island, Eglin AFB, Florida",-,-86.7400,30.3800,0.0200,USAF,-                -,,-
ELAR,,ELAR,LS,E,1966 Oct 15,*,ELAR  -,"Estacion de sondeos atmosfericos de El Arenosillo, Huelva, Espana",-,-6.7417,37.0958,0.0002,E,-                -,,-
ELLS,,ELLS,LS,US,-,-,ELLS  -,Ellsworth AFB,-,-103.1040,44.1450,0.0010,SAC,-                -,,-
ELM,,ELM,LS,US,1959,1979,Elmendorf AFB,Elmendorf AFB,"Anchorage, Alaska",61.2500,-149.8000,0.0010,SAC,-                -,,-
EMBA,,EMBA,LS,KZ,-,1999,EMBA  -,"Emba test range, Kazakshtan",-,55.4200,47.1000,0.1000,MO,-                -,,-
ENW,,ENW,LS,TTPI,1957 Oct  3,1957 Oct 22,ENW   -,"EPG (Eniwetok Proving Grounds), Eniwetok (Enewetak) Atoll, Marshall Is.",-,162.2500,11.5000,0.0200,USAF,-                -,,-
EQUOD,,EQUOD,LS,CA,1970 Mar  7,1972 Jul 10,EQUOD -,"East Quoddy, Newfoundland",-,-63.4200,44.9000,0.0200,NRCC,-                -,,-
ESR,,ESR,LS,S,1965 Feb  1,*,ESR   -,"ESRANGE, Kiruna",-,21.1070,67.8940,0.0020,ESRO,-                -,,-
EUNYUL,,EUNYUL,LS,KP,2016,-,Hwangju,"Scud launch site near Eunyul, N Hwanghae Prov.",-,125.1830,38.5190,1.0000,CMIK,-                -,,-
FC,,FC,LS,CA,1956,1998,FC    -,"Churchill Research Range, Fort Churchill, Manitoba, Canada",-,-93.8203,58.7343,0.0010,NRCC,-                -,,-
FEC,,FEC,LS,LUNA,1970 Sep 21,1970 Sep 21,FEC   KT-406,"KT No. 406, Luna-16 Site, Mare Fecunditatis, Langrenus A2",Luna,56.3000,-0.6800,0.0100,NPOL,-                -,,LUNA
FMR,,FMR,LS,LUNA,1971 Feb  6,1971 Feb  6,FMR   LM8-DS,"LM 8 Descent Stage, Fra Mauro Base, Fra Mauro, Montes Riphaeus B1",Luna,-19.2700,-3.6700,0.0100,NASA,-                -,,LUNA
FTB,,FTB,LS,US,1945,1970?,FTB   -,"Hueco Range, Fort Bliss, Texas",-,-106.6500,31.8000,0.1000,USA,-                -,,WS
FW,,FW,LS,US,1958,*,FW    -,"Fort Wingate Depot Activity, New Mexico",-,-108.6000,35.4500,0.0050,SMDC,-                -,,-
FWAK,,FWAK,LS,US,1959,1971,Ft Wainwright,"Ft Wainwright, Alaska",-,-147.6330,64.8300,0.0200,USAF,-                -,,-
FXM,,FXM,LS,CA,1971 Mar 15,1971 Mar 22,FXM   -,"FOX-MAIN DEW site, Hall Beach, Nunavut, Canada",-,-81.2240,68.7570,0.0020,NASA,-                -,,-
GAN,,GAN,LS,MV,-,-,GANI  -,"Gan Island, Addu Atoll, Maldives, Indian Ocean",-,73.1500,-0.6833,0.0100,UKMO,-                -,,-
GANC,,GANC,LS,ESCN,1997 Apr,1997 Apr,GAN   -,"Base Aerea de Gando, Gran Canaria",-,-15.3200,27.9200,0.0200,OSC,-                -,,-
GF,,GF,LS,US,-,-,GF    -,Grand Forks AFB,-,-97.4000,47.9600,0.0500,USAF,,-,
GILB,,GILB,LS,US,1964,1970?,GILB  -,"Gilson Butte, Utah",-,-110.5800,38.5900,0.0500,USA,-                -,,-
GILLAM,,GILLAM,LS,CA,1972 Jan 15,1973 Feb  2,GILLA -,"Gillam, Manitoba",-,-96.0000,56.1000,1.0000,NRC,-                -,,-
NIIP-53,,GIK-1,LS,SU,1960,1993,NIIP-53,"53-y Nauchno-Issledovatelskiy Ispitatelniy Poligon,",Plesetsk,40.5000,62.9000,0.0200,RVSN,Plesetsk         -,,GIK-1
GNIIPV,,GIK-1,LS,RU,1993,1994 Nov  1,GNIIP,"GNIIP, VKS section, Plesetsk, Rossiya",-,40.5000,62.9000,0.0200,RVSN,Ptesetsk         -,,GIK-1
GIK-1,,GIK-1,LS,RU,1994 Nov  1,*,GIK-1 -,1-y Gosudarstvenniy Ispitatelniy Kosmodrom MO RF,"Plesetsk, Rossiya",40.5000,62.9000,0.0200,RVSN,Plesetsk         -,,GIK-1
GIK-2,,SVOB,LS,RU,1990,2016,GIK-2 -,"GIK-2, Svobodniy, Amurskaya Oblast', Rossiya",-,128.0000,51.7000,0.5000,RVSN,Svobodniy        -,,-
NIIP-5,,GIK-5,LS,SU,1956,1989,NIIP-5,"NIIP-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.0200,RVSN,Baykonur         -,,GIK-5
GIK-5,,GIK-5,LS,RU,1989,*,GIK-5,"GIK-5, Baykonur, Kazakstan",-,63.0000,46.0000,0.0200,RVSN,Baykonur         -,,GIK-5
GIOIA,,GIOIA,LS,I,-,-,GIOIA -,"Jupiter sites, Gioia del Colle, Italy",-,16.9300,40.7600,0.0100,I,-                -,,-
GMI,,GMI,LS,NZ,2009,-,GMI,Great Mercury Island,"Great Mercury I., New Zealand",175.9200,-36.5800,0.0200,RLABN,-                -,,-
GIP-53,,GNIIP,LS,RU,1994 Jun  1,1995 Jan  1,GIP-53,"GIP-53, Plesetsk, Rossiya",-,41.1000,63.0000,0.5000,RVSN,-                -,,GIK-1
GNIIP1,,GNIIP,LS,RU,1993 Jan  1,1994 Jun  1,GNIIP -,"GNIIP, Plesetsk, Rossiya",-,41.1000,63.0000,0.5000,RVSN,-                -,,GIK-1
GNIIP,,GNIIP,LS,RU,1995 Jan  1,*,GNIIP -,"GNIIP, Plesetsk, Rossiya",-,41.1000,63.0000,0.5000,RVSN,-                -,,GIK-1
GOSEONG,,GOSEONG,LS,KR,2017 Jul,*,Goseong,"Goseong, South Korea",-,128.4183,38.5226,0.0001,ADD,-                -,,-
GRLC,,GRLC,LS,US,1964 Feb 10,1973 Aug 24,GRU   -,"Green River, Utah",-,-110.1300,38.9700,0.0500,USAF,-                -,,-
GRLY,,GRLY,LS,US,1971 Aug  7,1971 Aug 14,GRLY  -,"Fort Greely, Alaska",-,-146.0000,64.0000,0.2500,USA,-                -,,-
GTI,,GTI,LS,TC,-,-,GTI,"Grand Turk Auxiliary AFB, Grand Turk Island",-,-71.1420,21.4440,0.0050,USAF,-                -,,-
GTsP-4,,GTsP-4,LS,SU,1946,1999,GTsP-4,"GTsP-4, Kapustin Yar, Volgograd, Rossiya",-,45.8000,48.5000,0.1000,RVSN,KY               -,,GTsP-4
GTsMP-4,,GTsP-4,LS,SU,1999,*,GTsMP-4,"GTsMP-4 MO RF, Znamensk (Kapustin Yar), Rossiya",-,45.8000,48.5000,0.1000,RVSN,-                -,,GTsP-4
GUAM,,GUAM,LS,GU,1957 Feb 12,1958 Nov 24,GUAM  -,"Guam, Marianas Islands",-,144.9000,13.6000,0.2500,USA,-                -,,-
HAD,,HAD,LS,LUNA,1971 Aug  2,1971 Aug  2,HAD   LM10-DS,"LM 10 Descent Stage, Hadley Base, Montes Apenninus, Montes Apenninus B4",Luna,3.6600,26.0800,0.0100,NASA,-                -,,LUNA
HADC,,HADC,LS,US,1949 Dec  2,1957 Sep  1,HADC  -,"Holloman Air Development Center, New Mexico",-,-106.1030,32.8496,0.0001,USAF,-                -,,WS
HAI,,HAI,LS,CN,1988,*,HAI   -,"Haikou Space Center, Hainan",-,109.1193,19.5290,0.0002,CN,-                -,,海口
HAMA,,HAMA,LS,SY,1992 Jul,*,SYRIA HAMA,"Hama missile base, Syria",-,36.7107,35.1211,0.0010,SYMC,-                -,,-
HAMNC,,HAMNC,LS,US,1997,1997,HAM,"Hampstead, North Carolina, 1 mi W of Topsail Beach",-,-77.6400,34.3600,0.0500,HAL5,-                -,,-
HARBIN,,HARBIN,LS,CN,1967,*,Harbin,"Harbin, Heilongjiang, Manchuria, China",-,126.6800,45.7500,0.0200,CN,-                -,,-
HH,,HH,LS,US,1959,1967,Hidden Hills,"RW14/32, Hidden Hills Dry Lake, California",-,-115.9500,36.0000,0.0200,NASA/USAF,-                -,,-
HKR,,HKR,LS,DR,1944,1945,HKR   -,"Heidekraut, Tucheler Heide, Deutschland (now Polska)",-,18.0000,53.6000,0.3000,WEHR,-                -,,-
HLG,,HLG,LS,PL,1943 Nov,1944 Aug,HLG   -,"Truppenubungsplatz Heidelager, Blizna, Krakow, Polska",-,21.8000,50.2000,0.2000,WEHR,-                -,,-
HMG,,HMG,LS,DZ,1949,1967,HMG   -,"Centre Interarmees d'Essais d'Engins Speciaux (CIEES), Algerie",-,-3.0830,30.8870,0.0200,F,-                -,,-
HVP,,HVP,LS,DR,1942,1945,HVP   -,"Heersversuchsstelle Peenemunde, Usedom, Rostock, Mecklenburg-Vorpommern",-,13.8010,54.1730,0.0100,WEHR,-                -,,-
HULU,,HULU,LS,CN,1990?,-,Huludao,Huludao Shipyard test site,"Huludao, Liaonning",120.8000,40.7000,0.5000,PLANS,-                -,,-
HWJU,,HWJU,LS,KP,2016,-,Hwangju,"Scud launch site near Hwangju, N Hwanghae Prov.",-,125.7020,38.6868,0.0001,CMIK,-                -,,-
IQ160,,IQ160,LS,IQ,1991,1991,Km 160,"Kilometer 160, Ar Ramadi, Al Ambar, Iraq","Ar Ramadi, Al Anbar, Iraq",43.1000,33.4000,0.5000,IQ,-                -,,-
IQAN,,IQAN,LS,IQ,1991,1991,Al Nikheb,Al Nikheb (Al Nuqaub),"Al Nikheb, Al Anbar, Iraq",42.2600,32.0300,0.0100,IQ,-                -,,-
IQBA,,IQBA,LS,IQ,2003,2003,Basra,Mobile launchers in Basra region,"Basra, Iraq",47.8000,30.5000,0.2000,IQ,-                -,,-
IQH3,,IQH3,LS,IQ,2003,2003,H3 Airbase,"H3 Airbase, Al Anbar","Al Anbar, Iraq",39.7400,32.9300,0.0100,IQ,-                -,,-
IQKK,,IQKK,LS,IQ,2003,2003,Kirkuk,"Kirkuk region, Iraq","Kirkuk, Iraq",44.4000,35.4700,0.2000,IQ,-                -,,-
IQNJ,,IQNJ,LS,IQ,2003,2003,IQNJ,"Mobile launcher, S of An Najaf","An Najaf, Iraq",44.1000,31.0000,0.2000,IQ,-                -,,-
IQSA,,IQSA,LS,IQ,2003,2003,IQTA,Saddam Air Base,"Al Qayyarah, Iraq",43.1200,35.7600,0.0100,IQ,-                -,,-
IQTA,,IQTA,LS,IQ,2003,2003,IQTA,Tall' Afar Air Base,"Tall' Afar, Mosul, Iraq",42.4100,36.2800,0.0100,IQ,-                -,,-
IQUQ,,IQUQ,LS,IQ,2003,2003,IQUQ,Umm Qasr (Um Qassir),"Umm Qasr (Um Qassir), Shatt Al Arab, Iraq",47.9500,30.0500,0.0500,IQ,-                -,,-
IRAN,,IRAN,LS,IR,-,1985,IRAN  -,Mobile launchers in Iran?,-,49.0000,34.0000,4.0000,IR,-                -,,-
IRAQ,,IRAQ,LS,IQ,-,1991,IRAQ  -,Mobile launchers in Iraq,-,44.0000,33.0000,4.0000,IQ,-                -,,-
IRAQ-A,,IRAQ-A,LS,IQ,-,1991,IRAQ- -,"Mobile launchers in Iraq, near Al Amarah",-,47.1000,31.8000,0.2000,IQ,-                -,,-
IRAQ-W,,IRAQ-W,LS,IQ,1991,1991,IRAQ- -,"Mobile launchers in Iraq, western launch area",-,41.0000,34.0000,1.0000,IQ,-                -,,-
IRKURD,,IRKURD,LS,IR,2017,*,Kurdistan,"Missile base, Kurdistan province, Iran                                          -",,46.0000,36.0000,1.5000,IR,-                -,,-
IRW,,IRW,LS,US,1944,1945,IRW   -,"Leach Spring, Camp Irwin, California",-,-116.7000,35.3000,0.5000,JPL,-                -,,-
IXC,,IXC,LS,MX,1991 Jul 11,1991 Jul 11,IXC   -,"Santiago Ixcuintla, Nayarit, Mexico",-,-105.3700,21.8300,0.0200,SPFL,-                -,,-
JHAM,,JHAM,LS,EG,1962,1973,Jabal Hamzah,Jabal Hamzah,Egypt,30.6070,30.1274,0.0002,EGAO,-                -,,-
JHIM,,JHIM,LS,IQ,1990,1990,Jebel Himreen,"Jebel Himreen, Iraq",Iraq,45.3000,34.0000,0.5000,IQ,-                -,,-
JI,,JI,LS,UM67,1958,1975,JI    -,Johnston Island,-,-169.5238,16.7374,0.0001,USAF,-                -,,-
JIAN,,JIAN,LS,CN,1970,1972?,Jianshui,Jianshui (Ching-yu),-,102.8200,23.6200,0.0100,CN,-                -,,-
JIANGG,,JIANGG,LS,CN,1990?,-,Jianggezhuang,Jianggezhuang Submarine Base,Jianggezhuang,120.5789,36.1041,0.0001,PLANS,-                -,,-
JINZH,,JINZH,LS,CN,1990?,-,Jimzhou,Jinzhou missile base,-,121.1700,41.1900,0.0200,PLA,-                -,,-
JLRPG,,CC,LS,US,1949 Oct  1,1950 May 16,JLRPG,Joint Long Range Proving Ground,"Cape Canaveral, Florida",-80.5400,28.4600,0.0500,USAF,-                -,,-
